Возраст	Число доживающих  до данного возраста	Число умирающих в данном возрастном интервале	Вероятность умереть в данном возрасте	Вероятность дожить до конца возрастного интервала	Число живущих в данном возрастном интервале	Число человеко-лет жизни в возрасте старше данного	Ожидаемая продолжительность предстоящей жизни	Коэффициент дожития
86	10273	1776	0,172868	0,827132	9370	47181	4,59	0,84134
87	8497	1393	0,163948	0,836052	7777	37811	4,45	0,829989
88	7104	1215	0,171073	0,828927	6490	30034	4,23	0,834512
89	5889	1237	0,210075	0,789925	5265	23544	4,00	0,811248
90	4652	1094	0,235146	0,764854	4084	18279	3,93	0,775689
91	3558	746	0,209699	0,790301	3165	14195	3,99	0,774976
92	2812	630	0,223929	0,776071	2483	11030	3,92	0,784518
93	2182	404	0,185269	0,814731	1968	8547	3,92	0,79259
94	1778	340	0,191208	0,808792	1606	6579	3,7	0,816057
95	1438	353	0,245255	0,754745	1255	4973	3,46	0,781445
96	1085	192	0,176682	0,823318	979	3718	3,43	0,78008
97	893	106	0,119118	0,880882	840	2739	3,07	0,858018
98	787	188	0,238986	0,761014	695	1899	2,41	0,827381
99	599	148	0,246529	0,753471	536	1204	2,01	0,771223
100	451	451	1	0	668	668	1,48	0,554792
